Method_FQDN;#debug;#elif;#elifdef;#elifndef;#else;#if;#ifdef;#ifndef;#mdebug;NoDi;NoFE
trace.visibleXError;0;0;0;0;0;0;0;0;0;0;0
button.HandleInsertSelection;0;0;0;0;0;1;0;0;0;1;1
button.AppendStrToSelectionBuffer;0;0;0;0;0;0;0;0;0;0;0
util.isDefaultBackground;0;0;0;0;0;0;0;0;0;0;0
util.ClearInLine;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermSaveFontInfo;0;0;0;0;0;0;0;0;0;0;0
print.send_CharSet;0;0;0;0;1;1;0;0;0;2;1
menu.update_decbkm;0;0;0;0;0;0;0;0;0;0;0
button.parseItem;0;0;0;0;0;0;0;0;0;0;0
misc.dabbrev_prev_char;0;0;0;0;0;0;0;0;0;0;0
charproc.window_ops;0;0;0;0;0;3;0;0;0;3;1
menu.HandleMarginBell;0;0;0;0;0;0;0;0;0;0;0
fontutils.derive_font_name;0;0;0;0;0;0;0;0;0;0;0
ptydata.writePtyData;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.relinkData;0;0;0;0;0;0;0;0;0;0;0
scrollbar.HandleScrollBack;0;0;0;0;0;0;0;0;0;0;0
util.recolor_cursor;0;0;0;0;0;0;0;0;0;0;0
button.alloc8bitTargets;0;0;0;0;0;0;1;0;0;1;1
trace.visibleIChar;0;0;0;0;0;1;0;0;0;1;1
menu.do_scrollbar;0;0;0;0;0;0;0;0;0;0;0
print.xtermPrintEverything;0;0;0;0;0;0;0;0;0;0;0
screen.ClearBufRows;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermSpecialFont;0;0;0;0;0;2;0;0;0;2;1
Tekproc.TekSimulatePageButton;0;0;0;0;0;0;0;0;0;0;0
fontutils.lookupRelativeFontSize;0;0;0;0;0;1;0;0;0;1;1
cachedGCs.setCgsCSet;0;0;0;0;0;0;0;0;0;0;0
charproc.VTNonMaskableEvent;0;0;0;0;0;0;0;0;0;0;0
screen.ReallocateBufOffsets;0;0;0;0;0;1;0;0;0;1;1
main.HsSysError;0;0;0;0;0;0;0;0;0;0;0
print.printCursorLine;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermXftMissing;0;0;0;0;1;1;0;0;0;2;1
util.ReverseVideo;0;0;0;0;0;3;0;1;0;4;2
misc.HandleFocusChange;0;0;0;0;0;1;0;0;0;1;1
resize.onintr;0;1;0;0;1;0;1;0;0;3;2
menu.HandleTekPage;0;0;0;0;0;0;0;0;0;0;0
menu.update_font_boxchars;0;0;0;0;0;0;0;0;0;0;0
misc.selectwindow;0;0;0;0;0;1;0;0;0;1;1
doublechr.xterm_DECDWL;0;0;0;0;0;1;0;0;0;1;1
button.UTF8toLatin1;0;0;0;0;0;0;0;0;0;0;0
util.ClearAbove;0;0;0;0;0;0;0;0;0;0;0
fontutils.wide_font_name;0;0;0;0;0;0;0;0;0;0;0
menu.HandleSetPopOnBell;0;0;0;0;0;0;0;0;0;0;0
doublechr.xterm_DoubleGC;0;0;0;0;0;0;0;0;0;0;0
os2main.closecons;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekEnqMouse;0;0;0;0;0;0;0;0;0;0;0
menu.do_kill;0;0;0;0;0;0;0;0;0;0;0
main.ParseSccn;0;0;0;0;0;0;0;0;0;0;0
menu.HandleFontDoublesize;0;0;0;0;0;0;0;0;0;0;0
button.xtermUtf8ToTextList;0;0;0;0;0;0;0;0;0;0;0
charproc.xim_real_init;0;0;0;0;0;1;0;0;0;1;1
misc.cmp_resources;0;0;0;0;0;0;0;0;0;0;0
xtermcap.free_termcap;0;0;0;0;0;0;0;0;0;0;0
charproc.get_icon_label;0;0;0;0;0;0;0;0;0;0;0
xutf8.l1countUtf8Bytes;0;0;0;0;0;0;0;0;0;0;0
menu.do_font_loadable;0;0;0;0;0;0;0;0;0;0;0
menu.do_sco_fkeys;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermXftFirstChar;0;0;0;0;0;0;0;0;0;0;0
main.init_utmp;0;0;0;0;0;0;0;0;0;0;0
menu.update_font_utf8_title;0;0;0;0;0;0;0;0;0;0;0
button.HandleSelectSet;0;0;0;0;0;0;0;0;0;0;0
button.GettingSelection;0;0;0;0;0;0;0;0;0;0;0
util.xtermSizeHints;0;0;0;0;0;1;0;0;0;1;1
charproc.extendedBoolean;0;0;0;0;0;0;0;0;0;0;0
main.Exit;0;2;0;0;3;9;9;0;0;23;3
scrollbar.ScrollTextUpDownBy;0;0;0;0;0;0;0;0;0;0;0
misc.xtermSetenv;0;0;0;0;0;0;0;0;0;0;0
button._WriteSelectionData;0;0;0;0;0;1;2;0;0;3;2
menu.HandleCursesEmul;0;0;0;0;0;0;0;0;0;0;0
util.DeleteLine;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TCursorBack;0;0;0;0;0;0;0;0;0;0;0
charproc.reset_SGR_Background;0;0;0;0;0;0;0;0;0;0;0
button.xtermGetSelection;0;0;0;0;0;1;0;0;0;1;1
Tekproc.TCursorDown;0;0;0;0;0;0;0;0;0;0;0
menu.do_visualbell;0;0;0;0;0;0;0;0;0;0;0
xutf8.utf8countBytes;0;0;0;0;0;0;0;0;0;0;0
menu.update_tcap_fkeys;0;0;0;0;0;0;0;0;0;0;0
menu.HandleFontBoxChars;0;0;0;0;0;0;0;0;0;0;0
input.IsControlAlias;0;0;0;0;0;0;0;0;0;0;0
main.my_pty_id;0;0;0;0;0;0;0;0;0;0;0
screen.ChangeToWide;0;0;0;0;1;3;0;0;0;4;2
fontutils.get_font_name_props;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.getCgsGC;0;0;0;0;0;0;0;0;0;0;0
charproc.doparsing;0;0;0;0;2;27;0;0;0;29;2
charproc.xim_instantiate_cb;0;0;0;0;0;0;0;0;0;0;0
wcwidth.mk_wcwidth_cjk;0;0;0;0;0;0;0;0;0;0;0
xutf8.xutf8_dummy;0;0;0;0;0;0;0;0;0;0;0
menu.do_font_renderfont;0;0;0;0;0;0;0;0;0;0;0
menu.do_redraw;0;0;0;0;0;0;0;0;0;0;0
misc.parse_ansi_params;0;0;0;0;0;0;0;0;0;0;0
fontutils.n_fields;0;0;0;0;0;0;0;0;0;0;0
menu.HandleSunKeyboard;0;0;0;0;0;0;0;0;0;0;0
main.get_pty1;0;0;0;0;0;0;1;0;0;1;1
button.HandleSelectExtend;0;0;0;0;0;0;0;0;0;0;0
menu.HandleClearSavedLines;0;0;0;0;0;0;0;0;0;0;0
trace.no_error;0;0;0;0;0;0;0;0;0;0;0
charproc.set_max_row;0;0;0;0;0;0;0;0;0;0;0
button.LastTextCol;0;0;0;0;0;1;0;0;0;1;1
menu.HandleAllowSends;0;0;0;0;0;0;0;0;0;0;0
misc.AtomBell;0;0;0;0;0;0;0;0;0;0;0
menu.do_quit;0;0;0;0;0;0;0;0;0;0;0
menu.HandlePrintEverything;0;0;0;0;0;0;0;0;0;0;0
charproc.RestartBlinking;0;0;0;0;0;3;0;0;0;3;1
trace.visibleIChars;0;0;0;0;0;1;0;0;0;1;1
fontutils.mySquareRoot;0;0;0;0;0;0;0;0;0;0;0
screen.xtermParseRect;0;0;0;0;0;0;0;0;0;0;0
tabs.TabZonk;0;0;0;0;0;0;0;0;0;0;0
button.HandleKeyboardSelectEnd;0;0;0;0;0;0;0;0;0;0;0
menu.HandleScrollTtyOutput;0;0;0;0;0;0;0;0;0;0;0
button.do_select_start;0;0;0;0;0;1;0;0;0;1;1
screen.sizeofScrnRow;0;0;0;0;0;3;0;0;0;3;1
misc.Panic;0;0;0;0;0;0;1;0;0;1;1
menu.do_autolinefeed;0;0;0;0;0;0;0;0;0;0;0
util.my_strerror;0;0;0;0;0;0;0;0;0;0;0
misc.HandleBellPropertyChange;0;0;0;0;0;0;0;0;0;0;0
menu.update_appkeypad;0;0;0;0;0;0;0;0;0;0;0
fontutils.dumpXft;0;0;0;0;0;0;0;0;0;0;0
menu.do_hardreset;0;0;0;0;0;0;0;0;0;0;0
button.TrackDown;0;0;0;0;0;0;0;0;0;0;0
menu.HandleScrollKey;0;0;0;0;0;0;0;0;0;0;0
charproc.WrapLine;0;0;0;0;0;0;0;0;0;0;0
menu.do_marginbell;0;0;0;0;0;0;0;0;0;0;0
button.lastRowOfLine;0;0;0;0;0;0;0;0;0;0;0
fontutils.alloca_fontname;0;0;0;0;0;0;0;0;0;0;0
button.AppendToSelectionBuffer;0;0;0;0;0;0;0;0;0;0;0
misc.QueryFontRequest;0;0;0;0;0;1;0;0;0;1;1
menu.sizeof_menu;0;0;0;0;0;0;0;0;0;0;0
misc.Readlink;0;0;0;0;0;0;0;0;0;0;0
xstrings.x_strcasecmp;0;0;0;0;0;0;0;0;0;0;0
scrollbar.ScrollBarReverseVideo;0;0;0;0;0;0;0;0;0;0;0
menu.set_vthide_sensitivity;0;0;0;0;0;0;0;0;0;0;0
menu.HandleOldFunctionKeys;0;0;0;0;0;0;0;0;0;0;0
menu.update_scrollkey;0;0;0;0;0;0;0;0;0;0;0
ptydata.noleaks_ptydata;0;0;0;0;0;1;0;0;0;1;1
screen.ClearCells;0;0;0;0;0;0;0;0;0;0;0
misc.RequestMaximize;0;0;0;0;0;0;0;0;0;0;0
menu.HandleVisibility;0;0;0;0;0;0;0;0;0;0;0
menu.update_cursorblink;0;0;0;0;0;0;0;0;0;0;0
menu.update_alt_esc;0;0;0;0;0;0;0;0;0;0;0
misc.CloseLog;0;0;0;0;0;0;0;0;0;0;0
print.stringToPrinter;0;0;0;0;0;0;0;0;0;0;0
main.get_pty;0;9;0;0;3;5;2;0;0;19;3
menu.HandleAutoLineFeed;0;0;0;0;0;0;0;0;0;0;0
ptydata.fakePtyData;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnClearCells;0;0;0;0;0;1;0;0;0;1;1
util.do_erase_display;0;0;0;0;0;0;0;0;0;0;0
button.FinishPaste64;0;0;0;0;0;0;0;0;0;0;0
main.set_pty_id;0;0;0;0;0;0;0;0;0;0;0
menu.InitPopup;0;0;0;0;0;0;0;0;0;0;0
charproc.StartBlinking;0;0;0;0;0;0;0;0;0;0;0
menu.HandleAltScreen;0;0;0;0;0;0;0;0;0;0;0
doublechr.xterm_DECDHL;0;0;0;0;1;1;0;0;0;2;1
menu.do_cursesemul;0;0;0;0;0;0;0;0;0;0;0
misc.ResetAnsiColorRequest;0;0;0;0;0;0;0;0;0;0;0
menu.do_autowrap;0;0;0;0;0;0;0;0;0;0;0
util.ClearRight;0;0;0;0;0;0;0;0;0;0;0
Tekproc.AddToDraw;0;0;0;0;0;0;0;0;0;0;0
scrollbar.xtermGetLED;0;0;0;0;0;0;1;0;0;1;1
button._qWriteSelectionData;0;0;0;0;0;2;0;0;0;2;1
misc.HandleEnterWindow;0;0;0;0;0;0;0;0;0;0;0
trace.TraceTranslations;0;0;0;0;0;0;0;0;0;0;0
menu.do_vtmode;0;0;0;0;0;0;0;0;0;0;0
input.allowModifierParm;0;0;0;0;0;2;0;0;0;2;1
screen.ScrnDeleteChar;0;0;0;0;0;0;0;0;0;0;0
misc.HandleStringEvent;0;0;0;0;0;0;0;0;0;0;0
button.lengthOfLines;0;0;0;0;0;0;0;0;0;0;0
cursor.CursorBack;0;0;0;0;0;0;0;0;0;0;0
os2main.decode_keyvalue;0;1;0;0;0;2;0;0;0;3;1
ptydata.nextPtyData;0;0;0;0;0;0;0;0;0;0;0
charproc.illegal_parse;0;0;0;0;0;0;0;0;0;0;0
button.HandleKeyboardSelectStart;0;0;0;0;0;0;0;0;0;0;0
fontutils.same_font_size;0;0;0;0;0;0;0;0;0;0;0
util.AddToVisible;0;0;0;0;0;0;0;0;0;0;0
fontutils.setupPackedFonts;0;0;0;0;0;2;0;0;0;2;1
menu.toolbar_info;0;0;0;0;1;1;0;0;0;2;1
xutf8.utf8l1strlen;0;0;0;0;0;0;0;0;0;0;0
button.HandleKeyboardSelectExtend;0;0;0;0;0;0;0;0;0;0;0
xutf8.Xutf8TextPropertyToTextList;0;0;0;0;0;0;0;0;0;0;0
util.RevScroll;0;0;0;0;0;0;0;0;0;0;0
button.allocUtf8Targets;0;0;0;0;0;0;1;0;0;1;1
menu.SetupMenus;0;0;0;0;1;3;0;0;0;4;1
misc.logpipe;0;0;0;0;0;0;1;0;0;1;1
Tekproc.getpoint;0;0;0;0;0;0;0;0;0;0;0
menu.setMenuLocale;0;0;0;0;0;0;0;0;0;0;0
menu.update_menu_allowTitleOps;0;0;0;0;0;0;0;0;0;0;0
charproc.SetCursorBlink;0;0;0;0;0;1;0;0;0;1;1
menu.do_tektext2;0;0;0;0;0;0;0;0;0;0;0
menu.do_tektext3;0;0;0;0;0;0;0;0;0;0;0
menu.update_font_packed;0;0;0;0;0;0;0;0;0;0;0
button.isDoubleClick3;0;0;0;0;0;0;0;0;0;0;0
xtermcap.firstTcapByCode;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.getCgsId;0;0;0;0;0;0;0;0;0;0;0
util.InsertLine;0;0;0;0;0;0;0;0;0;0;0
charproc.bitset;0;0;0;0;0;0;0;0;0;0;0
menu.hide_toolbar;0;0;0;0;0;0;0;0;0;0;0
menu.HandleFontPacked;0;0;0;0;0;0;0;0;0;0;0
ptydata.convertToUTF8;0;0;0;0;0;0;0;0;0;0;0
menu.update_poponbell;0;0;0;0;0;0;0;0;0;0;0
button.iswide;0;0;0;0;0;0;0;0;0;0;0
cursor.CursorForward;0;0;0;0;0;1;0;0;0;1;1
linedata.restoreCellData;0;0;0;0;0;1;0;0;0;1;1
menu.do_appcursor;0;0;0;0;0;0;0;0;0;0;0
os2main.kill_process_group;0;0;0;0;0;0;0;0;0;0;0
menu.UpdateMenuItem;0;0;0;0;0;1;0;0;0;1;1
input.ModifyOtherKeys;0;0;0;0;0;1;2;0;0;3;2
menu.do_suspend;0;0;0;0;0;1;0;0;0;1;1
misc.cmp_options;0;0;0;0;0;0;0;0;0;0;0
util.AsciiEquivs;0;0;0;0;0;0;0;0;0;0;0
util.getXtermCell;0;0;0;0;0;0;0;0;0;0;0
button.CheckSecondPress3;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnCopyRectangle;0;0;0;0;0;0;0;0;0;0;0
button.SaveText;0;0;0;0;0;3;0;0;0;3;1
menu.do_tekmode;0;0;0;0;0;0;0;0;0;0;0
menu.do_jumpscroll;0;0;0;0;0;0;0;0;0;0;0
misc.SysErrorMsg;0;0;0;0;0;0;0;0;0;0;0
main.A2E;0;0;0;0;0;0;0;0;0;0;0
xtermcap.xtermcapKeycode;0;0;0;0;0;1;0;0;0;1;1
menu.HandleHardReset;0;0;0;0;0;0;0;0;0;0;0
main.posix_signal;0;0;0;0;1;0;1;0;0;2;1
menu.HandleAllow132;0;0;0;0;0;0;0;0;0;0;0
menu.do_tekcopy;0;0;0;0;0;0;0;0;0;0;0
menu.do_font_utf8_mode;0;0;0;0;0;0;0;0;0;0;0
menu.do_font_packed;0;0;0;0;0;0;0;0;0;0;0
misc.ChangeXprop;0;0;0;0;0;0;0;0;0;0;0
cursor.CursorNextLine;0;0;0;0;0;0;0;0;0;0;0
xutf8.Xutf8LookupString;0;0;0;0;0;0;0;0;0;0;0
util.do_erase_line;0;0;0;0;0;0;0;0;0;0;0
input.modifyCursorKey;0;0;0;0;0;0;0;0;0;0;0
menu.update_delete_del;0;0;0;0;0;0;0;0;0;0;0
xstrings.x_strindex;0;0;0;0;0;0;0;0;0;0;0
button.trimLastLine;0;0;0;0;0;0;0;0;0;0;0
misc.sortedOpts;0;0;0;0;1;2;1;0;0;4;2
menu.update_toolbar;0;0;0;0;0;0;0;0;0;0;0
util.drawClippedXftString;0;0;0;0;0;0;0;0;0;0;0
misc.VisualBell;0;0;0;0;0;1;0;0;0;1;1
fontutils.xtermOpenFont;0;0;0;0;0;2;0;0;0;2;1
misc.ChangeOneAnsiColor;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.clrCgsFonts;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekCopy;0;0;0;0;0;0;0;1;0;1;1
charproc.bitclr;0;0;0;0;0;0;0;0;0;0;0
util.HandleExposure;0;0;0;0;0;0;0;1;0;1;1
wcwidth.mk_wcwidth;0;0;0;0;0;0;0;0;0;0;0
charclass.CharacterClass;0;0;0;0;0;0;0;0;0;0;0
misc.getColormapSize;0;0;0;0;0;0;0;0;0;0;0
util.adjustHiliteOnBakScroll;0;0;0;0;0;0;0;0;0;0;0
menu.update_print_redir;0;0;0;0;0;0;0;0;0;0;0
util.swapLocally;0;0;0;0;1;2;0;0;0;3;1
menu.HandleKeepSelection;0;0;0;0;0;0;0;0;0;0;0
scrollbar.GetScrollLock;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TCursorForward;0;0;0;0;0;0;0;0;0;0;0
fontutils.HandleSmallerFont;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.traceCSet;0;0;0;0;0;0;0;0;0;0;0
menu.HandleToolbar;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.freeCgs;0;0;0;0;0;1;0;0;0;1;1
main.spawnXTerm;0;3;0;0;19;55;82;9;0;168;4
misc.getXtermWidget;0;0;0;0;0;0;0;0;0;0;0
button.CompleteSelection;0;0;0;0;0;0;0;0;0;0;0
menu.HandleTekCopy;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermXftLastChar;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.myDisplay;0;0;0;0;0;0;0;0;0;0;0
button.ReadLineMovePoint;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnDisownSelection;0;0;0;0;0;0;0;0;0;0;0
vms.tt_write;0;0;0;0;0;0;0;0;0;0;0
tabs.TabToNextStop;0;0;0;0;0;0;0;0;0;0;0
button.isClick1_clean;0;0;0;0;0;0;0;0;0;0;0
screen.allocScrnHead;0;0;0;0;0;0;0;0;0;0;0
button.make_indexed_text;0;0;0;0;0;0;0;0;0;0;0
button.overrideTargets;0;0;0;0;0;1;0;0;0;1;1
menu.HandleCreateMenu;0;0;0;0;0;0;0;0;0;0;0
menu.update_titeInhibit;0;0;0;0;0;0;0;0;0;0;0
util.adjustHiliteOnFwdScroll;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekBackground;0;0;0;0;0;0;0;0;0;0;0
menu.do_logging;0;0;0;0;0;0;0;0;0;0;0
charproc.unparse_end;0;0;0;0;1;0;1;0;0;2;1
charproc.unparseputc1;0;0;0;0;0;0;0;0;0;0;0
vms.tt_start_read;0;0;0;0;0;0;0;0;0;0;0
misc.reset_decudk;0;0;0;0;0;0;0;0;0;0;0
util.getXtermSizeHints;0;0;0;0;0;0;0;0;0;0;0
vms.tt_read;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekClear;0;0;0;0;0;0;0;0;0;0;0
main.set_owner;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.copyCgs;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.traceCgsEnum;0;0;0;0;0;4;0;0;0;4;1
misc.flashWindow;0;0;0;0;0;0;0;0;0;0;0
misc.XStrCmp;0;0;0;0;0;0;0;0;0;0;0
scrollbar.xtermClearLEDs;0;0;0;0;0;0;1;0;0;1;1
vms.char_change;0;0;0;0;0;0;0;0;0;0;0
menu.do_activeicon;0;0;0;0;0;0;0;0;0;0;0
xutf8.utf8insert;0;0;0;0;0;0;0;0;0;0;0
print.send_SGR;0;0;0;0;1;2;0;0;0;3;1
charproc.ToggleAlternate;0;0;0;0;0;0;0;0;0;0;0
os2main.reapchild;0;0;0;0;0;0;1;0;0;1;1
util.DeleteChar;0;0;0;0;0;1;0;0;0;1;1
misc.xtermVersion;0;0;0;0;0;0;0;0;0;0;0
button.SelectionReceived;0;0;0;0;0;8;0;0;0;8;1
misc.HandleLeaveWindow;0;0;0;0;0;0;0;0;0;0;0
fontutils.HandleLargerFont;0;0;0;0;0;0;0;0;0;0;0
misc.end_vt_mode;0;0;0;0;0;0;0;0;0;0;0
button.sameItem;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermUpdateFontInfo;0;0;0;0;0;0;1;0;0;1;1
os2main.icewatch;0;0;0;0;0;0;0;0;0;0;0
os2main.Exit;0;0;0;0;0;2;3;0;0;5;2
main.ttyslot;0;0;0;0;0;0;0;0;0;0;0
button.ExtendExtend;0;0;0;0;0;1;0;0;0;1;1
main.decode_keyvalue;0;1;0;0;0;2;0;0;0;3;1
menu.InitWidgetMenu;0;0;0;0;0;1;0;0;0;1;1
menu.do_sun_kbd;0;0;0;0;0;0;0;0;0;0;0
screen.setupLineData;0;0;0;0;0;6;0;0;0;6;1
charproc.CheckBogusForeground;0;0;0;0;0;0;0;0;0;0;0
menu.do_tekpage;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermLoadDefaultFonts;0;0;0;0;0;0;0;0;0;0;0
button._OwnSelection;0;0;0;0;0;0;0;0;0;0;0
charproc.VTRun;0;0;0;0;0;2;0;0;0;2;1
button.eventColBetween;0;0;0;0;0;0;0;0;0;0;0
scrollbar.showXkbLED;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermSetCursorBox;0;0;0;0;0;0;0;0;0;0;0
.init_classtab;0;0;0;0;0;0;0;0;0;0;0
misc.ChangeFontRequest;0;0;0;0;0;2;0;0;0;2;1
button._WriteKey;0;0;0;0;0;0;0;0;0;0;0
main.reapchild;0;0;0;0;0;0;2;0;0;2;1
charproc.unparseputs;0;0;0;0;0;0;0;0;0;0;0
charproc.HandleIgnore;0;0;0;0;0;0;0;0;0;0;0
cursor.AdjustSavedCursor;0;0;0;0;0;0;0;0;0;0;0
scrollbar.have_xkb;0;0;0;0;0;1;0;0;0;1;1
xstrings.x_strdup;0;0;0;0;0;0;0;0;0;0;0
charproc.HideCursor;0;0;0;0;0;4;1;1;0;6;2
testxmc.Mark_XMC;0;0;0;0;0;0;0;0;0;0;0
util.GetColors;0;0;0;0;0;0;0;0;0;0;0
charproc.unparseputc;0;0;0;0;0;1;0;0;0;1;1
misc.ChangeGroup;0;0;0;0;0;4;0;0;0;4;1
fontutils.xtermLoadVTFonts;0;0;0;0;0;3;0;0;0;3;1
screen.allocScrnData;0;0;0;0;0;0;0;0;0;0;0
scrollbar.SetScrollLock;0;0;0;0;0;0;0;0;0;0;0
fontutils.ucs2dec;0;0;0;0;0;0;0;0;0;0;0
vms.send_xoff;0;0;0;0;0;0;0;0;0;0;0
main.main;0;0;0;0;14;31;28;5;0;78;4
charproc.unparseputn;0;0;0;0;0;0;0;0;0;0;0
charproc.HandleBell;0;0;0;0;0;0;0;0;0;0;0
menu.update_reversewrap;0;0;0;0;0;0;0;0;0;0;0
menu.HandleSecure;0;0;0;0;0;1;0;0;0;1;1
trace.visibleNotifyDetail;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekExpose;0;0;0;0;0;0;1;0;0;1;1
button.addXtermChar;0;0;0;0;0;0;0;0;0;0;0
menu.HandleRedraw;0;0;0;0;0;0;0;0;0;0;0
button.HandleSelectEnd;0;0;0;0;0;0;0;0;0;0;0
misc.xtermResetIds;0;0;0;0;0;0;0;0;0;0;0
misc.xerror;0;0;0;0;0;0;0;0;0;0;0
misc.ChangeColorsRequest;0;0;0;0;0;0;0;0;0;0;0
menu.update_allow132;0;0;0;0;0;0;0;0;0;0;0
menu.do_backarrow;0;0;0;0;0;0;0;0;0;0;0
util.decode_keyboard_type;0;0;0;0;0;5;0;0;0;5;1
doublechr.pushback_font;0;0;0;0;0;0;0;0;0;0;0
cursor.set_cur_col;0;0;0;0;0;0;0;0;0;0;0
menu.HandleSetTerminalType;0;0;0;0;0;0;0;0;0;0;0
menu.HandleAllowTitleOps;0;0;0;0;0;0;0;0;0;0;0
menu.do_allowFontOps;0;0;0;0;0;0;0;0;0;0;0
fontutils.bold_font_name;0;0;0;0;0;0;0;0;0;0;0
charproc.VTExpose;0;0;0;0;0;0;1;0;0;1;1
fontutils.is_double_width_font_xft;0;0;0;0;0;0;0;0;0;0;0
misc.OscToColorIndex;0;0;0;0;0;3;0;0;0;3;1
misc.ChangeAnsiColorRequest;0;0;0;0;0;0;0;0;0;0;0
button.GetLocatorPosition;0;0;0;0;0;0;0;0;0;0;0
